category,school_name,school_address,school_code
Category1,Kyle Leuschke,43638 Waters Expressway,PWXcrtCmLS
Category2,Della Nitzsche,76218 S Park Street,2mb0WjTHiQ
Category3,Dr. Aubrey Keeling Sr.,83512 S Washington Street,RTRGQJFmev
Category4,Joey Erdman,4074 Dark Lane,DUBHR4apaj
Category5,Byron Bednar,272 Fadel Mount,Elj9g3nn0b
Category6,Vivian McGlynn,2538 Caesar Fork,PlZd0dFIFJ
Category7,Mrs. Heidi Feil,98792 S Main,elNsPNw9kB
Category8,Patty Gutmann,663 Jaqueline Meadow,vzkPVBrEHz
Category9,Robert Rolfson,324 West End,yQ8hdjDN3I
Category10,Mrs. Natasha Farrell,5901 Tessie Field,7bAIGRKXO6
Category11,Eddie Ebert,33281 Balmoral Road,2SF5pawhPi
Category12,Michele Orn,7896 S Lincoln Street,MEWK9L8llg
Category13,Stacey Kohler,13479 Douglas Center,I7aDbnQjsF
Category14,Miss Sabrina Harber,45725 Conner Pike,axOdCvhqBc
Category15,Franklin Terry,71959 Kris Hollow,LdMgqsNDNF
