category,politician_name,politician_email,politician_country
GOVT,Dana Volkman,Queenie_OConnell@gmail.com,Liberia
GOVT,Reginald Johnson,Baylee17@hotmail.com,Hungary
GOVT,Tiffany Daniel,Lonny_Shanahan@hotmail.com,Cuba
GOVT,Colleen Klocko,Clifton79@yahoo.com,Rwanda
GOVT,Martin Klocko,Josianne_Koch@yahoo.com,Macao
GOVT,Tina Kling,Pink98@gmail.com,Colombia
GOVT,Cecelia Rutherford,Ward.Nader28@gmail.com,Pitcairn Islands
GOVT,Sheri Osinski IV,Evalyn_Stiedemann@gmail.com,Svalbard & Jan Mayen Islands
GOVT,Duane Ritchie,Titus19@yahoo.com,Jordan
GOVT,Ricky Grimes Jr.,Roderick.Hermiston87@yahoo.com,Malaysia
GOVT,Rosemary Lemke-Bogisich,Alexandra_Tremblay@yahoo.com,Jersey
GOVT,Mr. Allan Wolff,Brent15@yahoo.com,Eswatini
GOVT,Carrie Lynch,Albina5@yahoo.com,Albania
GOVT,Ted Hane DDS,Anderson_Grady88@yahoo.com,Pakistan
GOVT,Yolanda Leffler,Amari26@hotmail.com,Poland
